언론사 제호,사이트 주소,검색기사 노출 url
환경이슈신문,http://www.hkisnews.com,
경인굿뉴스,http://www.gigoodnews.com,
시사안전뉴스,https://www.safetynews.co.kr/,
안전환경일보,http://www.안전환경일보.kr/,
울진타임즈,https://www.uljintimes.co.kr/,
국제언론인클럽,www.gjcnews.com,
JM저널,http://jmjournal.co.kr/,
바웃다tv,www.bautatv.com,
한국뉴스채널,http://ekn21.co.kr/,
뉴트리션,http://www.nutrition2.asia/,
로봇저널리즘 신문사,http://rbjnns.kr/,
로봇기자 유한,http://202006.kr/,
인텔리전스연예스포츠언론사,http://igng-news.com/,
교육전문지 와글와글뉴스,http://www.202005.kr/,
자동판매기네트워크신문사,http://www.vending.news/,
인텔리전스저널,http://www.igng-journal.com/,
경남에나뉴스,http://www.jjinews.net/,
굿타임즈,http://www.goodtms.net/,
진주뉴스,http://www.jinjutv.com/,
탐사일보,www.tamsa.co.kr,
영주방송,http://www.ybs.news/,
뉴스피플아이,http://www.newspeopleeye.co.kr/,
국민투데이,http://www.kukmini.com/,
한국장애인뉴스,http://www.hkdnews.kr/,
시사뱅크,sisabank.com,
충남인터넷뉴스,www.shanews.com,
장애인문화복지신문,http://www.dcwnews.com/,
세계뉴스통신,http://www.segyenewsagency.com/,
포탈뉴스,http://portalnews.co.kr/,
땡큐굿뉴스TGN 본사,http://tgnews.co.kr/,
땡큐굿뉴스TGN 서울,http://tgnews.co.kr/,
땡큐굿뉴스TGN 경기,http://gg.tgnews.co.kr/,
땡큐굿뉴스TGN제주,http://jj.tgnews.co.kr/,
땡큐굿뉴스울산,http://us.tgnews.co.kr/,
땡큐굿뉴스세종,sj.tgnews.co.kr,
땡큐굿뉴스경남,gn.tgnews.co.kr,
땡큐굿뉴스광주,gj.tgnews.co.kr,
땡큐굿뉴스부산,bs.tgnews.co.kr,
땡큐굿뉴스전북,jb.tgnews.co.kr,
땡큐굿뉴스전남,jn.tgnews.co.kr,
땡큐굿뉴스충북,cb.tgnews.co.kr,
땡큐굿뉴스충남,cn.tgnews.co.kr,
땡큐굿뉴스대전,dj.tgnews.co.kr,
땡큐굿뉴스강원,gw.tgnews.co.kr,
땡큐굿뉴스경북,gb.tgnews.co.kr,
땡큐굿뉴스대구,dg.tgnews.co.kr,
땡큐굿뉴스인천,http://icn.tgnews.co.kr/,
리버럴미디어,https://liberalmedia.co.kr/,
한국글로벌뉴스,http://kgfnews.com/,
와이뉴스,whynews.co.kr,
뉴스인020,"http://www.newsin020.com/",
경기핫타임뉴스,http://www.ghottimenews.com/,
경기헤드라인,https://www.gheadline.co.kr,
이뷰티앤패션,http://ebeautynfashion.com/,
포에버뉴스,http://forevernews.co.kr/,
울산1뉴스,ulsan1news.com,
한국연예일보,kens.kr,
한국연예축제일보,http://www.kefns.kr/,
동국일보,http://donggukilbo.com/,
글로벌문화신문,http://sscn.co.kr/,
새만금신문,http://smgnews.kr/,
강원뉴스,gangwonnews.com,
주한외국기업뉴스,http://www.gen.or.kr/,
화천뉴스,http://www.hcmb.news,
워라밸뉴스,http://wolabalnews.com/,
민원뉴스,http://www.minwonnews.com/,
경남도민뉴스,http://www.gndnews1.com/,
메트로타임즈,http://metrotimes.co.kr/,
더온매일뉴스,http://theown.news/,
방과후학교 뉴스,http://after-school.co.kr/,
매일뉴스,http://www.maeilnews.kr/,
입찰신문,http://bidko.co.kr/,
아리랑뉴스,http://arirangnews.co.kr/,
헤드라인경주,http://www.headlinegj.com,
여원뉴스,http://www.yeowonnews.com/,
충남도민일보,http://www.cinpnews.kr/,
한국뉴스(데일리연합),http://dailyan.com/,
지이코노미,http://www.geconomy.co.kr/,
시니어가이드,http://www.seniorguide.co.kr/,
감찰일보,http://0806690000.co.kr/,